cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,158,8192,512,ck,13,0,6.2551,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,211.89,1097.32,0.0
256,1,8192,1536,ck,8,0,6.2691,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.01,2009.99,0.0
256,159,8192,512,ck,13,0,6.2711,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,212.69,1097.22,0.0
256,162,8192,512,ck,13,0,6.273,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,216.64,1104.97,0.0
256,136,8192,512,ck,18,0,6.2807,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,181.64,1033.67,0.0
256,176,8192,512,ck,13,0,6.3111,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,233.94,1135.78,0.0
256,149,8192,512,ck,18,0,6.3139,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,197.96,1063.02,0.0
256,165,8192,512,ck,13,0,6.3139,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,219.22,1105.84,0.0
256,2,8192,1536,ck,8,0,6.3211,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.96,1996.29,0.0
256,184,8192,512,ck,13,0,6.3255,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,244.01,1154.56,0.0
256,174,8192,512,ck,13,0,6.3308,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,230.56,1126.9,0.0
256,4,8192,1536,ck,8,0,6.3334,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.89,1998.07,0.0
256,142,8192,512,ck,18,0,6.3427,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,187.8,1039.55,0.0
256,1,6144,1536,ck,8,0,6.3579,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.97,1486.5,0.0
256,181,8192,512,ck,13,0,6.3707,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,238.33,1138.41,0.0
256,182,8192,512,ck,13,0,6.3906,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,238.9,1137.51,0.0
256,4,6144,1536,ck,8,0,6.3927,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.81,1484.89,0.0
256,168,8192,512,ck,18,0,6.4131,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,219.75,1096.64,0.0
256,161,8192,512,ck,18,0,6.4235,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,210.25,1076.45,0.0
256,185,8192,512,ck,13,0,6.4247,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,241.55,1139.36,0.0
256,191,8192,512,ck,13,0,6.471,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,247.6,1146.88,0.0
256,200,8192,512,ck,18,0,6.4987,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,258.16,1165.39,0.0
256,208,8192,512,ck,18,0,6.5097,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,268.04,1184.18,0.0
256,163,8192,512,ck,17,0,6.5247,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,209.56,1064.93,0.0
256,217,8192,512,ck,18,0,6.5352,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,278.54,1202.83,0.0
256,178,8192,512,ck,18,0,6.5367,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,228.43,1101.75,0.0
256,172,8192,512,ck,18,0,6.5387,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,220.66,1085.91,0.0
256,211,8192,512,ck,18,0,6.5425,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,270.54,1185.99,0.0
256,202,8192,512,ck,18,0,6.5474,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,258.8,1161.88,0.0
256,183,8192,512,ck,18,0,6.5606,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,233.99,1110.61,0.0
